"Geography (2,3)",Age group,Sex,Indicators,"Characteristics (50,51,52,53,54,71,84,87)",2013
"Pictou County /Guysborough Antigonish Strait, Nova Scotia [1240-C]  (5)","Total, 12 years and over",Both sexes,"Wears a helmet when riding a bicycle, always (75,88)",Percent,43.2
"Pictou County /Guysborough Antigonish Strait, Nova Scotia [1240-C]  (5)","Total, 12 years and over",Both sexes,"Injuries in the past 12 months causing limitation of normal activities (80,88)",Percent,13.9
"Pictou County /Guysborough Antigonish Strait, Nova Scotia [1240-C]  (5)","Total, 12 years and over",Both sexes,Chronic obstructive pulmonary disease (COPD) (81),Percent,3.6
"Cape Breton District Health Authority,Nova Scotia [1258-I]  (5)","Total, 12 years and over",Both sexes,"Life satisfaction, satisfied or very satisfied (72,73)",Percent,91
"Cape Breton District Health Authority,Nova Scotia [1258-I]  (5)","Total, 12 years and over",Both sexes,"Arthritis (20,21)",Percent,32.8
"Cape Breton District Health Authority,Nova Scotia [1258-I]  (5)","Total, 12 years and over",Both sexes,"Diabetes (22,23)",Percent,9.2
"Cape Breton District Health Authority,Nova Scotia [1258-I]  (5)","Total, 12 years and over",Both sexes,Asthma (24),Percent,8
"Cape Breton District Health Authority,Nova Scotia [1258-I]  (5)","Total, 12 years and over",Both sexes,High blood pressure (25),Percent,31.5
"Cape Breton District Health Authority,Nova Scotia [1258-I]  (5)","Total, 12 years and over",Both sexes,"Current smoker, daily or occasional (28,29,30,31,33)",Percent,25.1
"Cape Breton District Health Authority,Nova Scotia [1258-I]  (5)","Total, 12 years and over",Both sexes,Heavy drinking (15),Percent,21.2
"Cape Breton District Health Authority,Nova Scotia [1258-I]  (5)","Total, 12 years and over",Both sexes,"Fruit and vegetable consumption, 5 times or more per day (37,63)",Percent,25.2
"Cape Breton District Health Authority,Nova Scotia [1258-I]  (5)","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, moderately active or active (38,39)",Percent,56
"Cape Breton District Health Authority,Nova Scotia [1258-I]  (5)","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, inactive (38,39)",Percent,44
"Cape Breton District Health Authority,Nova Scotia [1258-I]  (5)","Total, 12 years and over",Both sexes,"Body mass index, self-reported, adult (18 years and over), overweight or obese (40,41,42,43)",Percent,65.8
"Cape Breton District Health Authority,Nova Scotia [1258-I]  (5)","Total, 12 years and over",Both sexes,"Body mass index, self-reported, youth (12 to 17 years old), overweight or obese (40,41,64)",Percent,F
"Cape Breton District Health Authority,Nova Scotia [1258-I]  (5)","Total, 12 years and over",Both sexes,"Sense of belonging to local community, somewhat strong or very strong (45)",Percent,81.5
"Cape Breton District Health Authority,Nova Scotia [1258-I]  (5)","Total, 12 years and over",Both sexes,Has a regular medical doctor (46),Percent,95.5
"Cape Breton District Health Authority,Nova Scotia [1258-I]  (5)","Total, 12 years and over",Both sexes,"Contact with a medical doctor in the past 12 months (47,48,88)",Percent,86.5
"Cape Breton District Health Authority,Nova Scotia [1258-I]  (5)","Total, 12 years and over",Both sexes,"Influenza immunization, less than one year ago (49,74)",Percent,49.3
"Cape Breton District Health Authority,Nova Scotia [1258-I]  (5)","Total, 12 years and over",Both sexes,Mood disorder (70),Percent,12
"Cape Breton District Health Authority,Nova Scotia [1258-I]  (5)","Total, 12 years and over",Both sexes,"Wears a helmet when riding a bicycle, always (75,88)",Percent,41.1
"Cape Breton District Health Authority,Nova Scotia [1258-I]  (5)","Total, 12 years and over",Both sexes,"Injuries in the past 12 months causing limitation of normal activities (80,88)",Percent,14.3
"Cape Breton District Health Authority,Nova Scotia [1258-I]  (5)","Total, 12 years and over",Both sexes,Chronic obstructive pulmonary disease (COPD) (81),Percent,7.8
"Capital District Health Authority, Nova Scotia [1269-A]  (5)","Total, 12 years and over",Both sexes,"Life satisfaction, satisfied or very satisfied (72,73)",Percent,93.4
"Capital District Health Authority, Nova Scotia [1269-A]  (5)","Total, 12 years and over",Both sexes,"Arthritis (20,21)",Percent,18.3
"Capital District Health Authority, Nova Scotia [1269-A]  (5)","Total, 12 years and over",Both sexes,"Diabetes (22,23)",Percent,5.5
"Capital District Health Authority, Nova Scotia [1269-A]  (5)","Total, 12 years and over",Both sexes,Asthma (24),Percent,7.3
"Capital District Health Authority, Nova Scotia [1269-A]  (5)","Total, 12 years and over",Both sexes,High blood pressure (25),Percent,14
"Capital District Health Authority, Nova Scotia [1269-A]  (5)","Total, 12 years and over",Both sexes,"Current smoker, daily or occasional (28,29,30,31,33)",Percent,18.2
"Capital District Health Authority, Nova Scotia [1269-A]  (5)","Total, 12 years and over",Both sexes,Heavy drinking (15),Percent,18
"Capital District Health Authority, Nova Scotia [1269-A]  (5)","Total, 12 years and over",Both sexes,"Fruit and vegetable consumption, 5 times or more per day (37,63)",Percent,38.5
"Capital District Health Authority, Nova Scotia [1269-A]  (5)","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, moderately active or active (38,39)",Percent,63
"Capital District Health Authority, Nova Scotia [1269-A]  (5)","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, inactive (38,39)",Percent,37
"Capital District Health Authority, Nova Scotia [1269-A]  (5)","Total, 12 years and over",Both sexes,"Body mass index, self-reported, adult (18 years and over), overweight or obese (40,41,42,43)",Percent,56.8
"Capital District Health Authority, Nova Scotia [1269-A]  (5)","Total, 12 years and over",Both sexes,"Body mass index, self-reported, youth (12 to 17 years old), overweight or obese (40,41,64)",Percent,24.5
"Capital District Health Authority, Nova Scotia [1269-A]  (5)","Total, 12 years and over",Both sexes,"Sense of belonging to local community, somewhat strong or very strong (45)",Percent,67.2
"Capital District Health Authority, Nova Scotia [1269-A]  (5)","Total, 12 years and over",Both sexes,Has a regular medical doctor (46),Percent,88.2
"Capital District Health Authority, Nova Scotia [1269-A]  (5)","Total, 12 years and over",Both sexes,"Contact with a medical doctor in the past 12 months (47,48,88)",Percent,79.7
"Capital District Health Authority, Nova Scotia [1269-A]  (5)","Total, 12 years and over",Both sexes,"Influenza immunization, less than one year ago (49,74)",Percent,45.5
"Capital District Health Authority, Nova Scotia [1269-A]  (5)","Total, 12 years and over",Both sexes,Mood disorder (70),Percent,10
"Capital District Health Authority, Nova Scotia [1269-A]  (5)","Total, 12 years and over",Both sexes,"Wears a helmet when riding a bicycle, always (75,88)",Percent,74.6
"Capital District Health Authority, Nova Scotia [1269-A]  (5)","Total, 12 years and over",Both sexes,"Injuries in the past 12 months causing limitation of normal activities (80,88)",Percent,18.3
"Capital District Health Authority, Nova Scotia [1269-A]  (5)","Total, 12 years and over",Both sexes,Chronic obstructive pulmonary disease (COPD) (81),Percent,3.7
"Zone 1 (Moncton area), New Brunswick [1301-C]  (6)","Total, 12 years and over",Both sexes,"Life satisfaction, satisfied or very satisfied (72,73)",Percent,93.5
"Zone 1 (Moncton area), New Brunswick [1301-C]  (6)","Total, 12 years and over",Both sexes,"Arthritis (20,21)",Percent,20.9
"Zone 1 (Moncton area), New Brunswick [1301-C]  (6)","Total, 12 years and over",Both sexes,"Diabetes (22,23)",Percent,8
"Zone 1 (Moncton area), New Brunswick [1301-C]  (6)","Total, 12 years and over",Both sexes,Asthma (24),Percent,11.1
"Zone 1 (Moncton area), New Brunswick [1301-C]  (6)","Total, 12 years and over",Both sexes,High blood pressure (25),Percent,23.7
"Zone 1 (Moncton area), New Brunswick [1301-C]  (6)","Total, 12 years and over",Both sexes,"Current smoker, daily or occasional (28,29,30,31,33)",Percent,18.4
"Zone 1 (Moncton area), New Brunswick [1301-C]  (6)","Total, 12 years and over",Both sexes,Heavy drinking (15),Percent,26
"Zone 1 (Moncton area), New Brunswick [1301-C]  (6)","Total, 12 years and over",Both sexes,"Fruit and vegetable consumption, 5 times or more per day (37,63)",Percent,36.7
"Zone 1 (Moncton area), New Brunswick [1301-C]  (6)","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, moderately active or active (38,39)",Percent,51
"Zone 1 (Moncton area), New Brunswick [1301-C]  (6)","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, inactive (38,39)",Percent,49
"Zone 1 (Moncton area), New Brunswick [1301-C]  (6)","Total, 12 years and over",Both sexes,"Body mass index, self-reported, adult (18 years and over), overweight or obese (40,41,42,43)",Percent,64.2
"Zone 1 (Moncton area), New Brunswick [1301-C]  (6)","Total, 12 years and over",Both sexes,"Body mass index, self-reported, youth (12 to 17 years old), overweight or obese (40,41,64)",Percent,F
"Zone 1 (Moncton area), New Brunswick [1301-C]  (6)","Total, 12 years and over",Both sexes,"Sense of belonging to local community, somewhat strong or very strong (45)",Percent,66.3
"Zone 1 (Moncton area), New Brunswick [1301-C]  (6)","Total, 12 years and over",Both sexes,Has a regular medical doctor (46),Percent,94.3
"Zone 1 (Moncton area), New Brunswick [1301-C]  (6)","Total, 12 years and over",Both sexes,"Contact with a medical doctor in the past 12 months (47,48,88)",Percent,79.1
"Zone 1 (Moncton area), New Brunswick [1301-C]  (6)","Total, 12 years and over",Both sexes,"Influenza immunization, less than one year ago (49,74)",Percent,34.3
"Zone 1 (Moncton area), New Brunswick [1301-C]  (6)","Total, 12 years and over",Both sexes,Mood disorder (70),Percent,9.7
"Zone 1 (Moncton area), New Brunswick [1301-C]  (6)","Total, 12 years and over",Both sexes,"Wears a helmet when riding a bicycle, always (75,88)",Percent,58.2
"Zone 1 (Moncton area), New Brunswick [1301-C]  (6)","Total, 12 years and over",Both sexes,"Injuries in the past 12 months causing limitation of normal activities (80,88)",Percent,14
"Zone 1 (Moncton area), New Brunswick [1301-C]  (6)","Total, 12 years and over",Both sexes,Chronic obstructive pulmonary disease (COPD) (81),Percent,F
"Zone 2 (Saint John area), New Brunswick [1302-C]  (6)","Total, 12 years and over",Both sexes,"Life satisfaction, satisfied or very satisfied (72,73)",Percent,93.2
"Zone 2 (Saint John area), New Brunswick [1302-C]  (6)","Total, 12 years and over",Both sexes,"Arthritis (20,21)",Percent,21.7
"Zone 2 (Saint John area), New Brunswick [1302-C]  (6)","Total, 12 years and over",Both sexes,"Diabetes (22,23)",Percent,8.3
"Zone 2 (Saint John area), New Brunswick [1302-C]  (6)","Total, 12 years and over",Both sexes,Asthma (24),Percent,10.5
"Zone 2 (Saint John area), New Brunswick [1302-C]  (6)","Total, 12 years and over",Both sexes,High blood pressure (25),Percent,19.9
"Zone 2 (Saint John area), New Brunswick [1302-C]  (6)","Total, 12 years and over",Both sexes,"Current smoker, daily or occasional (28,29,30,31,33)",Percent,20.7
"Zone 2 (Saint John area), New Brunswick [1302-C]  (6)","Total, 12 years and over",Both sexes,Heavy drinking (15),Percent,26.7
"Zone 2 (Saint John area), New Brunswick [1302-C]  (6)","Total, 12 years and over",Both sexes,"Fruit and vegetable consumption, 5 times or more per day (37,63)",Percent,36.3
"Zone 2 (Saint John area), New Brunswick [1302-C]  (6)","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, moderately active or active (38,39)",Percent,54.5
"Zone 2 (Saint John area), New Brunswick [1302-C]  (6)","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, inactive (38,39)",Percent,45.5
"Zone 2 (Saint John area), New Brunswick [1302-C]  (6)","Total, 12 years and over",Both sexes,"Body mass index, self-reported, adult (18 years and over), overweight or obese (40,41,42,43)",Percent,65.1
"Zone 2 (Saint John area), New Brunswick [1302-C]  (6)","Total, 12 years and over",Both sexes,"Body mass index, self-reported, youth (12 to 17 years old), overweight or obese (40,41,64)",Percent,21.9
"Zone 2 (Saint John area), New Brunswick [1302-C]  (6)","Total, 12 years and over",Both sexes,"Sense of belonging to local community, somewhat strong or very strong (45)",Percent,77.1
"Zone 2 (Saint John area), New Brunswick [1302-C]  (6)","Total, 12 years and over",Both sexes,Has a regular medical doctor (46),Percent,91.8
"Zone 2 (Saint John area), New Brunswick [1302-C]  (6)","Total, 12 years and over",Both sexes,"Contact with a medical doctor in the past 12 months (47,48,88)",Percent,81.8
"Zone 2 (Saint John area), New Brunswick [1302-C]  (6)","Total, 12 years and over",Both sexes,"Influenza immunization, less than one year ago (49,74)",Percent,40.4
"Zone 2 (Saint John area), New Brunswick [1302-C]  (6)","Total, 12 years and over",Both sexes,Mood disorder (70),Percent,7.8
"Zone 2 (Saint John area), New Brunswick [1302-C]  (6)","Total, 12 years and over",Both sexes,"Wears a helmet when riding a bicycle, always (75,88)",Percent,62.3
"Zone 2 (Saint John area), New Brunswick [1302-C]  (6)","Total, 12 years and over",Both sexes,"Injuries in the past 12 months causing limitation of normal activities (80,88)",Percent,18.4
"Zone 2 (Saint John area), New Brunswick [1302-C]  (6)","Total, 12 years and over",Both sexes,Chronic obstructive pulmonary disease (COPD) (81),Percent,2.5
"Zone 3 (Fredericton area), New Brunswick [1303-C]  (6)","Total, 12 years and over",Both sexes,"Life satisfaction, satisfied or very satisfied (72,73)",Percent,91.7
"Zone 3 (Fredericton area), New Brunswick [1303-C]  (6)","Total, 12 years and over",Both sexes,"Arthritis (20,21)",Percent,23.5
"Zone 3 (Fredericton area), New Brunswick [1303-C]  (6)","Total, 12 years and over",Both sexes,"Diabetes (22,23)",Percent,6
"Zone 3 (Fredericton area), New Brunswick [1303-C]  (6)","Total, 12 years and over",Both sexes,Asthma (24),Percent,11
"Zone 3 (Fredericton area), New Brunswick [1303-C]  (6)","Total, 12 years and over",Both sexes,High blood pressure (25),Percent,25.1
